City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Lufilufi,WS,-13.87,-171.6,77.0,94,88,4.0,light rain
287,Haines Junction,CA,60.75,-137.51,43.05,79,85,8.19,overcast clouds
288,Consett,GB,54.85,-1.83,55.99,94,100,4.52,moderate rain
289,Te Anau,NZ,-45.42,167.72,51.93,88,95,9.04,light rain
290,Muskogee,US,35.58,-95.33,70.0,52,1,13.87,clear sky
291,Hamilton,US,39.18,-84.53,64.0,51,1,5.82,clear sky
292,Vao,NC,-22.67,167.48,69.3,77,9,18.34,clear sky
293,Alice Springs,AU,-23.7,133.88,84.2,19,0,23.04,clear sky
294,Portland,US,45.52,-122.68,59.0,82,90,3.0,overcast clouds
295,Maltahohe,NA,-24.83,16.98,67.8,16,0,11.81,clear sky
296,Champerico,GT,14.3,-91.92,84.2,70,40,4.7,scattered clouds
297,Bethel,US,41.37,-73.41,63.0,59,20,5.82,few clouds
298,Aguimes,ES,27.91,-15.45,77.0,73,40,25.28,scattered clouds
299,Jawhar,SO,2.78,45.5,78.28,76,86,13.78,overcast clouds
300,Lusambo,CD,-4.97,23.45,82.02,59,55,1.81,broken clouds
301,Strezhevoy,RU,60.73,77.59,35.6,93,75,6.71,light intensity shower rain
302,Shelburne,CA,44.08,-80.2,50.0,81,90,5.82,overcast clouds
303,Saint George,US,37.1,-113.58,71.6,8,1,1.45,clear sky
304,Mlonggo,ID,-6.53,110.7,81.55,70,44,3.06,scattered clouds
305,Biharamulo,TZ,-2.63,31.31,70.66,53,64,1.66,broken clouds
306,Mustasaari,FI,63.11,21.68,55.4,76,1,6.93,clear sky
307,Emerald,AU,-23.53,148.17,64.4,68,0,6.93,clear sky
308,Santa Vitoria Do Palmar,BR,-33.52,-53.37,56.28,60,59,13.27,broken clouds
309,Saint-Pierre,RE,-21.34,55.48,73.4,83,75,13.87,broken clouds
310,Najran,SA,17.49,44.13,80.6,18,0,6.93,clear sky
311,Poum,NC,-20.23,164.02,70.3,74,3,11.07,clear sky
312,Strai,NO,58.2,7.9,59.0,77,75,26.4,broken clouds
313,Antofagasta,CL,-23.65,-70.4,59.0,77,90,14.99,overcast clouds
314,Tazmalt,DZ,36.39,4.4,75.2,29,40,10.29,scattered clouds
315,Tuatapere,NZ,-46.13,167.68,55.0,95,100,15.99,light rain
316,Bathsheba,BB,13.22,-59.52,86.0,70,20,10.29,few clouds
317,Muisne,EC,0.6,-80.03,78.8,83,75,3.36,broken clouds
318,Souillac,MU,-20.52,57.52,71.6,83,20,3.36,few clouds
319,Staraya Toropa,RU,56.28,31.67,57.45,64,100,10.07,overcast clouds
320,President Roxas,PH,7.15,125.06,75.2,100,75,3.36,broken clouds
321,Majalaya,ID,-7.34,106.61,76.89,86,81,13.96,broken clouds
322,Farafangana,MG,-22.82,47.83,70.07,84,93,6.38,light rain
323,Cherskiy,RU,68.75,161.3,27.05,97,24,5.37,few clouds
324,Dingle,PH,11.0,122.67,76.96,87,99,2.71,overcast clouds
325,Sorong,ID,-0.88,131.25,77.9,86,92,5.86,overcast clouds
326,Hermiston,US,45.84,-119.29,71.01,55,1,2.57,clear sky
327,Cidreira,BR,-30.18,-50.21,57.47,85,100,18.66,heavy intensity rain
328,Mnogovershinnyy,RU,53.94,139.92,43.39,97,100,8.81,light rain
329,Aban,RU,56.67,96.06,39.72,72,100,5.77,overcast clouds
330,Balaipungut,ID,1.05,101.28,74.25,88,100,1.21,overcast clouds
331,Beringovskiy,RU,63.05,179.32,38.14,88,100,23.04,overcast clouds
332,Sitka,US,57.05,-135.33,51.8,87,75,5.82,light rain
333,Tasiilaq,GL,65.61,-37.64,35.6,74,20,5.82,few clouds
334,Urengoy,RU,65.97,78.37,32.9,89,99,18.88,overcast clouds
335,Mawlaik,MM,23.63,94.42,77.43,92,78,0.51,light rain
336,Saint-Augustin,CA,51.23,-58.65,55.54,76,80,13.8,broken clouds
337,Turkmenabat,TM,39.07,63.58,64.4,25,3,6.93,clear sky
338,Luena,AO,-11.78,19.92,73.76,47,59,1.92,broken clouds
339,Waipawa,NZ,-41.41,175.52,57.2,82,15,23.04,few clouds
340,Black River,JM,18.03,-77.85,87.8,70,20,18.34,few clouds
341,Waingapu,ID,-9.66,120.26,77.49,78,94,6.24,overcast clouds
342,Williston,US,48.15,-103.62,54.0,56,19,5.93,few clouds
343,Uruacu,BR,-14.52,-49.14,106.38,10,2,5.26,clear sky
344,Kenora,CA,49.82,-94.43,41.0,56,75,5.82,broken clouds
345,Baracoa,CU,20.35,-74.5,87.06,63,33,12.93,scattered clouds
346,Les Cayes,HT,18.2,-73.75,85.89,65,26,12.12,scattered clouds
347,Lafiagi,NG,8.87,5.42,82.92,77,44,3.31,scattered clouds
348,Marrakesh,MA,31.63,-8.01,78.8,47,40,6.93,scattered clouds
349,Jega,NG,12.22,4.38,89.42,53,38,5.79,scattered clouds
350,Saint-Joseph,RE,-21.37,55.62,73.4,83,75,13.87,broken clouds
351,Makasar,ID,-5.14,119.42,73.4,83,20,1.12,few clouds
352,Mabua,PH,9.81,125.44,81.28,79,53,7.83,light rain
353,Merrill,US,45.18,-89.68,46.0,54,90,2.57,overcast clouds
354,Komsomolskiy,UZ,40.43,71.72,59.0,66,33,2.24,scattered clouds
355,Lianzhou,CN,24.78,112.38,76.14,82,25,0.2,light rain
356,Sept-Iles,CA,50.2,-66.38,55.99,47,40,6.93,scattered clouds
357,Asau,RO,46.43,26.4,57.0,88,97,3.76,overcast clouds
358,Glasgow,GB,55.87,-4.26,48.2,93,100,6.93,moderate rain
359,Berberati,CF,4.26,15.79,72.81,93,73,3.56,light rain
360,Bengkulu,ID,-3.8,102.27,76.71,85,95,6.6,overcast clouds
361,Khani,GE,41.96,42.96,64.4,93,40,6.93,scattered clouds
